ID,sentiment
1,Positive
2,Positive
3,Positive
4,Positive
5,Negative
6,Positive
7,Positive
8,Negative
9,Positive
10,Positive
11,Positive
12,Positive
13,Negative
14,Negative
15,Negative
16,Positive
17,Positive
18,Positive
19,Positive
20,Negative
21,Negative
22,Negative
23,Negative
24,Positive
25,Positive
26,Positive
27,Positive
28,Positive
29,Positive
30,Positive
31,Positive
32,Negative
33,Negative
34,Positive
35,Positive
36,Negative
37,Positive
38,Positive
39,Negative
40,Positive
41,Positive
42,Positive
43,Positive
44,Positive
45,Positive
46,Negative
47,Negative
48,Negative
49,Positive
50,Positive
51,Positive
52,Negative
53,Positive
54,Positive
55,Positive
56,Positive
57,Positive
58,Positive
59,Positive
60,Negative
61,Negative
62,Negative
63,Negative
64,Negative
65,Negative
66,Positive
67,Positive
68,Positive
69,Positive
70,Positive
71,Negative
72,Positive
73,Positive
74,Negative
75,Positive
76,Positive
77,Positive
78,Negative
79,Positive
80,Positive
81,Positive
82,Positive
83,Positive
84,Positive
85,Negative
86,Positive
87,Positive
88,Positive
89,Negative
90,Positive
91,Negative
92,Negative
93,Negative
94,Positive
95,Positive
96,Positive
97,Negative
98,Positive
99,Positive
100,Positive
101,Negative
102,Positive
103,Positive
104,Negative
105,Negative
106,Negative
107,Positive
108,Positive
109,Positive
110,Negative
111,Negative
112,Positive
113,Positive
114,Positive
115,Negative
116,Negative
117,Positive
118,Positive
119,Positive
120,Positive
121,Negative
122,Negative
123,Negative
124,Positive
125,Positive
126,Negative
127,Negative
128,Positive
129,Positive
130,Positive
131,Positive
132,Negative
133,Negative
134,Positive
135,Positive
136,Positive
137,Negative
138,Positive
139,Positive
140,Positive
141,Positive
142,Positive
143,Positive
144,Positive
145,Negative
146,Negative
147,Positive
148,Positive
149,Positive
150,Positive
151,Positive
152,Negative
153,Negative
154,Positive
155,Positive
156,Negative
157,Positive
158,Negative
159,Negative
160,Positive
161,Negative
162,Positive
163,Negative
164,Positive
165,Negative
166,Positive
167,Negative
168,Positive
169,Negative
170,Negative
171,Negative
172,Positive
173,Negative
174,Positive
175,Positive
176,Positive
177,Negative
178,Positive
179,Negative
180,Negative
181,Positive
182,Positive
183,Positive
184,Negative
185,Negative
186,Positive
187,Positive
188,Positive
189,Positive
190,Positive
191,Negative
192,Positive
193,Positive
194,Negative
